country,year,fertilityrate,life_expectancy,Total_population
Afghanistan,1800,7.0,28.21,3.28
Afghanistan,1810,7.0,28.11,3.28
Afghanistan,1820,7.0,28.01,3.32
Afghanistan,1830,7.0,27.9,3.45
Afghanistan,1840,7.0,27.8,3.63
Afghanistan,1850,7.0,27.7,3.81
Afghanistan,1860,7.0,27.6,3.97
Afghanistan,1870,7.0,27.49,4.17
Afghanistan,1880,7.0,27.39,4.42
Afghanistan,1890,7.0,27.29,4.71
Afghanistan,1900,7.0,27.19,5.02
Afghanistan,1910,7.0,27.08,5.35
Afghanistan,1920,7.0,26.98,5.81
Afghanistan,1930,7.14,26.88,6.39
Afghanistan,1940,7.4,26.78,7.03
Afghanistan,1950,7.67,26.85,7.75
Afghanistan,1951,7.67,27.13,7.84
Afghanistan,1952,7.67,27.67,7.93
Afghanistan,1953,7.67,28.19,8.04
Afghanistan,1954,7.67,28.73,8.15
Afghanistan,1955,7.67,29.27,8.27
Afghanistan,1956,7.67,29.8,8.4
Afghanistan,1957,7.67,30.34,8.53
Afghanistan,1958,7.67,30.86,8.68
Afghanistan,1959,7.67,31.4,8.83
Afghanistan,1960,7.67,31.94,8.99
Afghanistan,1961,7.67,32.47,9.16
Afghanistan,1962,7.67,33.01,9.34
Afghanistan,1963,7.67,33.53,9.53
Afghanistan,1964,7.67,34.07,9.73
Afghanistan,1965,7.67,34.6,9.94
Afghanistan,1966,7.67,35.13,10.15
Afghanistan,1967,7.67,35.66,10.37
Afghanistan,1968,7.67,36.17,10.6
Afghanistan,1969,7.67,36.69,10.85
Afghanistan,1970,7.67,37.2,11.12
Afghanistan,1971,7.67,37.7,11.41
Afghanistan,1972,7.67,38.19,11.72
Afghanistan,1973,7.67,38.67,12.02
Afghanistan,1974,7.67,39.14,12.32
Afghanistan,1975,7.67,39.61,12.58
Afghanistan,1976,7.67,40.07,12.83
Afghanistan,1977,7.67,40.53,13.06
Afghanistan,1978,7.67,40.98,13.22
Afghanistan,1979,7.67,41.46,13.28
Afghanistan,1980,7.67,41.96,13.21
Afghanistan,1981,7.67,42.51,13.0
Afghanistan,1982,7.67,43.11,12.67
Afghanistan,1983,7.67,43.75,12.28
Afghanistan,1984,7.68,44.45,11.91
Afghanistan,1985,7.68,45.21,11.63
Afghanistan,1986,7.68,46.02,11.44
Afghanistan,1987,7.68,46.87,11.34
Afghanistan,1988,7.68,47.74,11.38
Afghanistan,1989,7.68,48.62,11.61
Afghanistan,1990,7.69,49.5,12.07
Afghanistan,1991,7.7,49.3,12.79
Afghanistan,1992,7.73,49.4,13.75
Afghanistan,1993,7.76,49.5,14.82
Afghanistan,1994,7.8,48.9,15.87
Afghanistan,1995,7.83,49.4,16.77
Afghanistan,1996,7.86,49.7,17.48
Afghanistan,1997,7.87,49.5,18.03
Afghanistan,1998,7.85,48.6,18.51
Afghanistan,1999,7.81,50.0,19.04
Afghanistan,2000,7.73,50.1,19.7
Afghanistan,2001,7.62,50.4,20.53
Afghanistan,2002,7.48,51.0,21.49
Afghanistan,2003,7.32,51.4,22.51
Afghanistan,2004,7.14,51.8,23.5
Afghanistan,2005,6.93,52.0,24.4
Afghanistan,2006,6.7,52.1,25.18
Afghanistan,2007,6.46,52.4,25.88
Afghanistan,2008,6.2,52.8,26.53
Afghanistan,2009,5.93,53.3,27.21
Afghanistan,2010,5.66,53.6,27.96
Afghanistan,2011,5.4,54.0,28.81
Afghanistan,2012,5.14,54.4,29.73
Afghanistan,2013,4.9,54.8,30.68
Afghanistan,2014,4.68,54.9,31.63
Afghanistan,2015,4.47,53.8,32.53
Albania,1800,4.6,35.4,0.41
Albania,1810,4.6,35.4,0.42
Albania,1820,4.6,35.4,0.44
Albania,1830,4.6,35.4,0.46
Albania,1840,4.6,35.4,0.48
Albania,1850,4.6,35.4,0.51
Albania,1860,4.6,35.4,0.55
Albania,1870,4.6,35.4,0.61
Albania,1880,4.6,35.4,0.67
Albania,1890,4.6,35.4,0.74
Albania,1900,4.6,35.4,0.82
Albania,1910,4.6,35.4,0.9
Albania,1920,4.6,35.4,0.96
Albania,1930,3.72,36.29,1.02
Albania,1940,4.19,42.0,1.12
Albania,1950,5.8,54.48,1.26
Albania,1951,5.9,54.72,1.29
Albania,1952,6.07,55.23,1.32
Albania,1953,6.21,55.85,1.35
Albania,1954,6.31,56.59,1.38
Albania,1955,6.37,57.45,1.42
Albania,1956,6.4,58.42,1.46
Albania,1957,6.39,59.48,1.5
Albania,1958,6.35,60.6,1.54
Albania,1959,6.28,61.75,1.59
Albania,1960,6.19,62.87,1.64
Albania,1961,6.08,63.92,1.69
Albania,1962,5.96,64.84,1.74
Albania,1963,5.83,65.6,1.79
Albania,1964,5.71,66.18,1.84
Albania,1965,5.59,66.59,1.9
Albania,1966,5.48,66.88,1.95
Albania,1967,5.38,67.11,2.0
Albania,1968,5.27,67.32,2.05
Albania,1969,5.16,67.55,2.1
Albania,1970,5.05,67.83,2.15
Albania,1971,4.93,68.16,2.2
Albania,1972,4.81,68.53,2.25
Albania,1973,4.68,68.93,2.31
Albania,1974,4.54,69.35,2.36
Albania,1975,4.39,69.77,2.41
Albania,1976,4.24,70.17,2.46
Albania,1977,4.09,70.54,2.52
Albania,1978,3.95,70.86,2.57
Albania,1979,3.81,71.14,2.63
Albania,1980,3.68,71.39,2.68
Albania,1981,3.56,71.63,2.74
Albania,1982,3.46,71.88,2.79
Albania,1983,3.37,72.15,2.84
Albania,1984,3.3,72.42,2.9
Albania,1985,3.23,72.71,2.97
Albania,1986,3.18,72.96,3.04
Albania,1987,3.13,73.14,3.12
Albania,1988,3.08,73.25,3.2
Albania,1989,3.02,73.3,3.25
Albania,1990,2.97,73.3,3.28
Albania,1991,2.92,73.4,3.28
Albania,1992,2.87,73.6,3.24
Albania,1993,2.82,73.6,3.19
Albania,1994,2.77,73.6,3.14
Albania,1995,2.72,73.7,3.11
Albania,1996,2.67,73.8,3.09
Albania,1997,2.61,74.1,3.09
Albania,1998,2.54,74.2,3.1
Albania,1999,2.47,74.2,3.11
Albania,2000,2.38,74.7,3.12
Albania,2001,2.29,75.1,3.12
Albania,2002,2.2,75.5,3.12
Albania,2003,2.1,75.7,3.12
Albania,2004,2.0,75.9,3.1
Albania,2005,1.92,76.2,3.08
Albania,2006,1.85,76.4,3.05
Albania,2007,1.8,76.6,3.01
Albania,2008,1.76,76.8,2.97
Albania,2009,1.74,77.0,2.93
Albania,2010,1.74,77.2,2.9
Albania,2011,1.75,77.4,2.89
Albania,2012,1.76,77.5,2.88
Albania,2013,1.77,77.7,2.88
Albania,2014,1.78,77.9,2.89
Albania,2015,1.78,78.0,2.9
Algeria,1800,6.99,28.82,2.5
Algeria,1810,6.99,28.82,2.6
Algeria,1820,6.99,28.82,2.71
Algeria,1830,6.99,28.82,2.88
Algeria,1840,6.99,28.82,3.08
Algeria,1850,6.99,15.0,3.3
Algeria,1860,6.99,28.82,3.54
Algeria,1870,6.99,22.0,3.81
Algeria,1880,6.99,28.82,4.14
Algeria,1890,6.99,28.82,4.53
Algeria,1900,6.99,28.86,4.95
Algeria,1910,6.99,30.79,5.4
Algeria,1920,6.99,27.5,6.06
Algeria,1930,7.12,31.14,6.88
Algeria,1940,7.39,33.72,7.8
Algeria,1950,7.65,42.77,8.87
Algeria,1951,7.65,43.03,9.04
Algeria,1952,7.65,43.5,9.22
Algeria,1953,7.65,43.96,9.41
Algeria,1954,7.65,44.44,9.61
Algeria,1955,7.65,44.93,9.83
Algeria,1956,7.65,45.44,10.07
Algeria,1957,7.65,45.94,10.32
Algeria,1958,7.65,46.45,10.58
Algeria,1959,7.65,46.97,10.85
Algeria,1960,7.65,47.5,11.12
Algeria,1961,7.65,48.02,11.4
Algeria,1962,7.65,48.55,11.69
Algeria,1963,7.65,49.07,11.99
Algeria,1964,7.65,49.58,12.3
Algeria,1965,7.66,50.09,12.63
Algeria,1966,7.66,50.58,12.98
Algeria,1967,7.66,51.05,13.35
Algeria,1968,7.66,51.49,13.74
Algeria,1969,7.65,51.95,14.14
Algeria,1970,7.64,52.41,14.55
Algeria,1971,7.62,52.88,14.96
Algeria,1972,7.59,53.38,15.38
Algeria,1973,7.55,53.91,15.8
Algeria,1974,7.49,54.52,16.25
Algeria,1975,7.42,55.24,16.71
Algeria,1976,7.34,56.11,17.19
Algeria,1977,7.24,57.13,17.69
Algeria,1978,7.14,58.28,18.21
Algeria,1979,7.02,59.56,18.76
Algeria,1980,6.89,60.92,19.34
Algeria,1981,6.74,62.31,19.94
Algeria,1982,6.58,63.69,20.58
Algeria,1983,6.39,64.97,21.23
Algeria,1984,6.19,66.15,21.89
Algeria,1985,5.98,67.18,22.57
Algeria,1986,5.75,68.04,23.24
Algeria,1987,5.51,68.75,23.92
Algeria,1988,5.26,69.33,24.59
Algeria,1989,5.01,69.81,25.26
Algeria,1990,4.76,70.2,25.91
Algeria,1991,4.5,70.5,26.55
Algeria,1992,4.24,70.9,27.18
Algeria,1993,3.97,71.2,27.79
Algeria,1994,3.71,71.4,28.36
Algeria,1995,3.45,71.6,28.9
Algeria,1996,3.21,72.1,29.41
Algeria,1997,2.99,72.4,29.89
Algeria,1998,2.79,72.6,30.34
Algeria,1999,2.63,73.0,30.77
Algeria,2000,2.51,73.3,31.18
Algeria,2001,2.44,73.5,31.59
Algeria,2002,2.41,73.8,31.99
Algeria,2003,2.41,73.9,32.39
Algeria,2004,2.45,74.4,32.82
Algeria,2005,2.51,74.8,33.27
Algeria,2006,2.58,75.0,33.75
Algeria,2007,2.66,75.3,34.26
Algeria,2008,2.73,75.5,34.81
Algeria,2009,2.78,75.7,35.4
Algeria,2010,2.82,76.0,36.04
Algeria,2011,2.83,76.1,36.72
Algeria,2012,2.82,76.2,37.44
Algeria,2013,2.8,76.3,38.19
Algeria,2014,2.76,76.3,38.93
Algeria,2015,2.71,76.4,39.67
Angola,1800,6.93,26.98,1.57
Angola,1810,6.94,26.98,1.57
Angola,1820,6.94,26.98,1.6
Angola,1830,6.95,26.98,1.69
Angola,1840,6.96,26.98,1.81
Angola,1850,6.97,26.98,1.95
Angola,1860,6.97,26.98,2.11
Angola,1870,6.98,26.98,2.29
Angola,1880,6.99,26.98,2.47
Angola,1890,6.99,26.98,2.68
Angola,1900,7.0,26.98,2.9
Angola,1910,7.01,26.98,3.14
Angola,1920,7.02,26.98,3.39
Angola,1930,7.0,26.98,3.64
Angola,1940,6.96,26.98,3.92
Angola,1950,6.93,30.7,4.35
Angola,1951,6.94,31.05,4.44
Angola,1952,6.98,31.59,4.53
Angola,1953,7.02,32.14,4.62
Angola,1954,7.06,32.69,4.71
Angola,1955,7.1,33.24,4.81
Angola,1956,7.14,33.78,4.9
Angola,1957,7.19,34.33,4.99
Angola,1958,7.23,34.88,5.08
Angola,1959,7.28,35.43,5.18
Angola,1960,7.32,35.98,5.27
Angola,1961,7.35,36.53,5.37
Angola,1962,7.39,37.08,5.47
Angola,1963,7.41,37.63,5.57
Angola,1964,7.43,38.18,5.67
Angola,1965,7.43,38.74,5.77
Angola,1966,7.42,39.28,5.86
Angola,1967,7.4,39.84,5.96
Angola,1968,7.38,40.39,6.07
Angola,1969,7.34,40.95,6.18
Angola,1970,7.3,41.5,6.3
Angola,1971,7.26,42.06,6.44
Angola,1972,7.23,42.62,6.59
Angola,1973,7.21,43.17,6.75
Angola,1974,7.19,43.71,6.92
Angola,1975,7.19,44.22,7.11
Angola,1976,7.19,44.68,7.3
Angola,1977,7.19,45.12,7.5
Angola,1978,7.19,45.5,7.72
Angola,1979,7.2,45.84,7.95
Angola,1980,7.2,46.14,8.21
Angola,1981,7.2,46.42,8.5
Angola,1982,7.2,46.69,8.81
Angola,1983,7.21,46.96,9.13
Angola,1984,7.21,47.23,9.44
Angola,1985,7.21,47.5,9.75
Angola,1986,7.21,47.75,10.02
Angola,1987,7.2,47.99,10.29
Angola,1988,7.19,48.2,10.54
Angola,1989,7.18,48.4,10.82
Angola,1990,7.17,48.6,11.13
Angola,1991,7.14,49.3,11.47
Angola,1992,7.12,49.6,11.85
Angola,1993,7.09,48.4,12.25
Angola,1994,7.05,50.0,12.65
Angola,1995,7.02,50.9,13.04
Angola,1996,6.98,51.3,13.42
Angola,1997,6.95,51.7,13.8
Angola,1998,6.91,51.8,14.19
Angola,1999,6.88,51.8,14.6
Angola,2000,6.84,52.3,15.06
Angola,2001,6.81,52.5,15.56
Angola,2002,6.78,53.3,16.11
Angola,2003,6.74,53.9,16.69
Angola,2004,6.7,54.5,17.3
Angola,2005,6.66,55.2,17.91
Angola,2006,6.6,55.7,18.54
Angola,2007,6.52,56.2,19.18
Angola,2008,6.43,56.7,19.84
Angola,2009,6.33,57.1,20.52
Angola,2010,6.22,57.6,21.22
Angola,2011,6.1,58.1,21.94
Angola,2012,5.98,58.5,22.69
Angola,2013,5.86,58.8,23.45
Angola,2014,5.75,59.2,24.23
Angola,2015,5.65,59.6,25.02
Antigua and Barbuda,1800,5.0,33.54,0.04
Antigua and Barbuda,1810,4.96,33.54,0.04
Antigua and Barbuda,1820,4.93,33.54,0.04
Antigua and Barbuda,1830,4.89,33.54,0.04
Antigua and Barbuda,1840,4.85,33.54,0.04
Antigua and Barbuda,1850,4.82,33.54,0.04
Antigua and Barbuda,1860,4.78,33.54,0.04
Antigua and Barbuda,1870,4.74,33.54,0.04
Antigua and Barbuda,1880,4.7,33.54,0.04
Antigua and Barbuda,1890,4.67,33.54,0.04
Antigua and Barbuda,1900,4.63,33.54,0.03
Antigua and Barbuda,1910,4.59,33.54,0.03
Antigua and Barbuda,1920,4.56,33.54,0.03
Antigua and Barbuda,1930,4.52,40.98,0.03
Antigua and Barbuda,1940,4.48,49.26,0.04
Antigua and Barbuda,1950,4.45,57.97,0.05
Antigua and Barbuda,1951,4.46,58.26,0.05
Antigua and Barbuda,1952,4.5,58.8,0.05
Antigua and Barbuda,1953,4.52,59.34,0.05
Antigua and Barbuda,1954,4.53,59.87,0.05
Antigua and Barbuda,1955,4.53,60.41,0.05
Antigua and Barbuda,1956,4.53,60.93,0.05
Antigua and Barbuda,1957,4.51,61.45,0.05
Antigua and Barbuda,1958,4.49,61.97,0.05
Antigua and Barbuda,1959,4.46,62.48,0.05
Antigua and Barbuda,1960,4.43,62.97,0.05
Antigua and Barbuda,1961,4.39,63.46,0.06
Antigua and Barbuda,1962,4.34,63.93,0.06
Antigua and Barbuda,1963,4.3,64.38,0.06
Antigua and Barbuda,1964,4.25,64.81,0.06
Antigua and Barbuda,1965,4.19,65.23,0.06
Antigua and Barbuda,1966,4.13,65.63,0.06
Antigua and Barbuda,1967,4.04,66.03,0.06
Antigua and Barbuda,1968,3.94,66.41,0.06
Antigua and Barbuda,1969,3.82,66.81,0.06
Antigua and Barbuda,1970,3.68,67.19,0.07
Antigua and Barbuda,1971,3.52,67.56,0.07
Antigua and Barbuda,1972,3.33,67.94,0.07
Antigua and Barbuda,1973,3.12,68.3,0.07
Antigua and Barbuda,1974,2.91,68.64,0.07
Antigua and Barbuda,1975,2.7,68.99,0.07
Antigua and Barbuda,1976,2.51,69.32,0.07
Antigua and Barbuda,1977,2.36,69.64,0.07
Antigua and Barbuda,1978,2.24,69.96,0.07
Antigua and Barbuda,1979,2.16,70.28,0.07
Antigua and Barbuda,1980,2.12,70.59,0.07
Antigua and Barbuda,1981,2.1,70.9,0.07
Antigua and Barbuda,1982,2.1,71.22,0.07
Antigua and Barbuda,1983,2.1,71.52,0.07
Antigua and Barbuda,1984,2.1,71.82,0.07
Antigua and Barbuda,1985,2.09,72.13,0.07
Antigua and Barbuda,1986,2.08,72.42,0.06
Antigua and Barbuda,1987,2.07,72.7,0.06
Antigua and Barbuda,1988,2.06,72.97,0.06
Antigua and Barbuda,1989,2.06,73.24,0.06
Antigua and Barbuda,1990,2.06,73.5,0.06
Antigua and Barbuda,1991,2.07,73.6,0.06
Antigua and Barbuda,1992,2.1,73.5,0.06
Antigua and Barbuda,1993,2.13,73.4,0.06
Antigua and Barbuda,1994,2.17,73.4,0.07
Antigua and Barbuda,1995,2.21,73.5,0.07
Antigua and Barbuda,1996,2.25,73.5,0.07
Antigua and Barbuda,1997,2.28,73.9,0.07
Antigua and Barbuda,1998,2.3,74.1,0.07
Antigua and Barbuda,1999,2.32,74.0,0.08
Antigua and Barbuda,2000,2.32,73.8,0.08
Antigua and Barbuda,2001,2.31,74.1,0.08
Antigua and Barbuda,2002,2.29,74.3,0.08
Antigua and Barbuda,2003,2.27,74.5,0.08
Antigua and Barbuda,2004,2.25,74.6,0.08
Antigua and Barbuda,2005,2.22,74.9,0.08
Antigua and Barbuda,2006,2.2,74.9,0.08
Antigua and Barbuda,2007,2.18,75.3,0.08
Antigua and Barbuda,2008,2.16,75.5,0.09
Antigua and Barbuda,2009,2.15,75.7,0.09
Antigua and Barbuda,2010,2.13,75.8,0.09
Antigua and Barbuda,2011,2.12,75.9,0.09
Antigua and Barbuda,2012,2.1,76.1,0.09
Antigua and Barbuda,2013,2.09,76.2,0.09
Antigua and Barbuda,2014,2.08,76.3,0.09
Antigua and Barbuda,2015,2.06,76.4,0.09
Argentina,1800,6.8,33.2,0.53
Argentina,1810,6.8,33.2,0.53
Argentina,1820,6.8,33.2,0.57
Argentina,1830,6.8,33.2,0.69
Argentina,1840,6.8,33.2,0.87
Argentina,1850,6.8,33.2,1.11
Argentina,1860,6.8,33.2,1.42
Argentina,1870,6.73,33.2,1.86
Argentina,1880,6.56,33.1,2.49
Argentina,1890,5.99,34.0,3.4
Argentina,1900,5.95,36.8,4.76
Argentina,1910,5.41,43.5,6.85
Argentina,1920,4.86,50.2,8.88
Argentina,1930,4.07,54.3,11.9
Argentina,1940,3.43,59.1,14.2
Argentina,1950,3.16,61.61,17.15
Argentina,1951,3.16,61.93,17.51
Argentina,1952,3.16,62.54,17.87
Argentina,1953,3.15,63.1,18.22
Argentina,1954,3.15,63.59,18.58
Argentina,1955,3.14,64.03,18.93
Argentina,1956,3.14,64.41,19.27
Argentina,1957,3.13,64.73,19.61
Argentina,1958,3.12,65.0,19.95
Argentina,1959,3.12,65.22,20.29
Argentina,1960,3.11,65.39,20.62
Argentina,1961,3.1,65.53,20.95
Argentina,1962,3.09,65.64,21.29
Argentina,1963,3.08,65.74,21.62
Argentina,1964,3.07,65.84,21.95
Argentina,1965,3.06,65.95,22.28
Argentina,1966,3.05,66.08,22.61
Argentina,1967,3.05,66.26,22.93
Argentina,1968,3.05,66.47,23.26
Argentina,1969,3.06,66.72,23.61
Argentina,1970,3.07,67.01,23.97
Argentina,1971,3.1,67.32,24.37
Argentina,1972,3.15,67.64,24.78
Argentina,1973,3.2,67.96,25.21
Argentina,1974,3.26,68.28,25.64
Argentina,1975,3.32,68.6,26.07
Argentina,1976,3.37,68.92,26.48
Argentina,1977,3.39,69.24,26.88
Argentina,1978,3.39,69.57,27.28
Argentina,1979,3.37,69.89,27.68
Argentina,1980,3.33,70.2,28.11
Argentina,1981,3.27,70.51,28.54
Argentina,1982,3.21,70.78,28.99
Argentina,1983,3.16,71.04,29.45
Argentina,1984,3.12,71.26,29.92
Argentina,1985,3.09,71.46,30.39
Argentina,1986,3.07,71.66,30.86
Argentina,1987,3.06,71.84,31.33
Argentina,1988,3.04,72.05,31.8
Argentina,1989,3.02,72.26,32.26
Argentina,1990,2.99,72.5,32.73
Argentina,1991,2.96,72.7,33.19
Argentina,1992,2.92,72.8,33.66
Argentina,1993,2.88,73.1,34.11
Argentina,1994,2.83,73.4,34.56
Argentina,1995,2.77,73.5,34.99
Argentina,1996,2.72,73.5,35.42
Argentina,1997,2.66,73.6,35.83
Argentina,1998,2.6,73.8,36.24
Argentina,1999,2.54,73.9,36.65
Argentina,2000,2.48,74.2,37.06
Argentina,2001,2.42,74.3,37.47
Argentina,2002,2.38,74.3,37.89
Argentina,2003,2.34,74.5,38.31
Argentina,2004,2.31,75.0,38.73
Argentina,2005,2.29,75.3,39.15
Argentina,2006,2.27,75.3,39.56
Argentina,2007,2.25,75.2,39.97
Argentina,2008,2.24,75.4,40.38
Argentina,2009,2.23,75.6,40.8
Argentina,2010,2.22,75.8,41.22
Argentina,2011,2.2,76.0,41.66
Argentina,2012,2.19,76.1,42.1
Argentina,2013,2.18,76.2,42.54
Argentina,2014,2.16,76.3,42.98
Argentina,2015,2.15,76.5,43.42
Armenia,1800,7.8,34.0,0.41
Armenia,1810,7.83,34.0,0.41
Armenia,1820,7.86,34.0,0.42
Armenia,1830,7.89,34.0,0.45
Armenia,1840,7.93,34.0,0.5
Armenia,1850,7.96,34.0,0.54
Armenia,1860,7.99,34.0,0.6
Armenia,1870,8.02,31.46,0.65
Armenia,1880,8.05,33.0,0.71
Armenia,1890,8.08,35.0,0.78
Armenia,1900,8.05,35.9,0.86
Armenia,1910,7.95,38.4,0.94
Armenia,1920,7.85,28.0,1.03
Armenia,1930,7.04,43.58,1.12
Armenia,1940,5.52,49.8,1.23
Armenia,1950,4.53,62.41,1.35
Armenia,1951,4.51,62.67,1.38
Armenia,1952,4.49,63.13,1.42
Armenia,1953,4.48,63.6,1.46
Armenia,1954,4.48,64.07,1.51
Armenia,1955,4.49,64.54,1.56
Armenia,1956,4.51,65.0,1.62
Armenia,1957,4.53,65.45,1.68
Armenia,1958,4.55,65.92,1.74
Armenia,1959,4.56,66.39,1.8
Armenia,1960,4.55,66.86,1.87
Armenia,1961,4.51,67.33,1.93
Armenia,1962,4.44,67.82,2.0
Armenia,1963,4.32,68.3,2.07
Armenia,1964,4.16,68.78,2.14
Armenia,1965,3.98,69.26,2.2
Armenia,1966,3.79,69.74,2.27
Armenia,1967,3.61,70.22,2.33
Armenia,1968,3.45,70.67,2.39
Armenia,1969,3.31,71.1,2.46
Armenia,1970,3.21,71.47,2.52
Armenia,1971,3.12,71.79,2.58
Armenia,1972,3.03,72.02,2.64
Armenia,1973,2.94,72.19,2.71
Armenia,1974,2.85,72.28,2.77
Armenia,1975,2.75,72.33,2.83
Armenia,1976,2.65,72.38,2.88
Armenia,1977,2.56,72.44,2.94
Armenia,1978,2.48,72.53,2.99
Armenia,1979,2.42,72.63,3.04
Armenia,1980,2.39,72.72,3.1
Armenia,1981,2.37,72.73,3.15
Armenia,1982,2.38,72.64,3.19
Armenia,1983,2.41,72.43,3.24
Armenia,1984,2.44,72.1,3.29
Armenia,1985,2.48,71.7,3.34
Armenia,1986,2.52,71.24,3.4
Armenia,1987,2.55,70.82,3.46
Armenia,1988,2.57,70.46,3.51
Armenia,1989,2.57,70.22,3.54
Armenia,1990,2.54,70.1,3.54
Armenia,1991,2.48,69.7,3.51
Armenia,1992,2.4,68.8,3.45
Armenia,1993,2.3,68.3,3.37
Armenia,1994,2.18,68.6,3.29
Armenia,1995,1.8,69.1,3.22
Armenia,1996,1.8,69.4,3.17
Armenia,1997,1.7,70.0,3.14
Armenia,1998,1.5,70.5,3.11
Armenia,1999,1.4,70.8,3.09
Armenia,2000,1.3,71.3,3.08
Armenia,2001,1.2,71.4,3.06
Armenia,2002,1.2,71.6,3.05
Armenia,2003,1.4,71.5,3.04
Armenia,2004,1.4,71.8,3.03
Armenia,2005,1.4,71.8,3.01
Armenia,2006,1.3,71.7,3.0
Armenia,2007,1.4,72.3,2.99
Armenia,2008,1.4,72.3,2.98
Armenia,2009,1.6,72.6,2.97
Armenia,2010,1.55,73.0,2.96
Armenia,2011,1.5,73.5,2.97
Armenia,2012,1.47,73.9,2.98
Armenia,2013,1.44,74.3,2.99
Armenia,2014,1.42,74.5,3.01
Armenia,2015,1.41,74.7,3.02
Australia,1800,6.5,34.05,0.35
Australia,1810,6.3,34.05,0.34
Australia,1820,6.1,34.05,0.33
Australia,1830,5.79,34.05,0.35
Australia,1840,5.37,34.05,0.43
Australia,1850,4.94,34.05,0.74
Australia,1860,5.71,34.05,1.26
Australia,1870,5.19,34.05,1.72
Australia,1880,4.73,39.34,2.25
Australia,1890,4.69,44.63,3.09
Australia,1900,3.66,49.93,3.74
Australia,1910,3.35,55.22,4.41
Australia,1920,3.07,60.51,5.35
Australia,1930,2.58,64.96,6.47
Australia,1940,2.26,66.26,7.05
Australia,1950,3.07,69.01,8.18
Australia,1951,3.06,68.71,8.42
Australia,1952,3.18,69.11,8.63
Australia,1953,3.19,69.69,8.82
Australia,1954,3.19,69.84,9.01
Australia,1955,3.28,70.16,9.21
Australia,1956,3.33,70.03,9.42
Australia,1957,3.42,70.31,9.64
Australia,1958,3.42,70.86,9.86
Australia,1959,3.44,70.43,10.08
Australia,1960,3.45,70.87,10.29
Australia,1961,3.55,71.14,10.49
Australia,1962,3.43,70.91,10.69
Australia,1963,3.34,70.97,10.89
Australia,1964,3.15,70.63,11.11
Australia,1965,2.97,70.96,11.37
Australia,1966,2.89,70.79,11.66
Australia,1967,2.85,71.07,11.98
Australia,1968,2.89,70.7,12.31
Australia,1969,2.89,71.11,12.62
Australia,1970,2.86,70.78,12.9
Australia,1971,2.95,71.38,13.15
Australia,1972,2.74,71.9,13.36
Australia,1973,2.49,72.11,13.55
Australia,1974,2.32,71.86,13.73
Australia,1975,2.15,72.81,13.89
Australia,1976,2.06,72.84,14.05
Australia,1977,2.01,73.45,14.21
Australia,1978,1.95,73.84,14.37
Australia,1979,1.91,74.4,14.53
Australia,1980,1.89,74.56,14.71
Australia,1981,1.94,74.92,14.9
Australia,1982,1.93,74.7,15.1
Australia,1983,1.92,75.51,15.32
Australia,1984,1.84,75.98,15.55
Australia,1985,1.92,75.41,15.79
Australia,1986,1.87,76.08,16.05
Australia,1987,1.85,76.27,16.31
Australia,1988,1.83,76.3,16.59
Australia,1989,1.84,76.4,16.85
Australia,1990,1.9,77.0,17.1
Australia,1991,1.85,77.4,17.33
Australia,1992,1.89,77.6,17.54
Australia,1993,1.86,77.9,17.74
Australia,1994,1.84,78.1,17.93
Australia,1995,1.82,78.3,18.12
Australia,1996,1.8,78.5,18.32
Australia,1997,1.78,78.8,18.51
Australia,1998,1.76,79.2,18.71
Australia,1999,1.76,79.4,18.91
Australia,2000,1.76,79.8,19.11
Australia,2001,1.73,80.1,19.31
Australia,2002,1.76,80.3,19.51
Australia,2003,1.75,80.6,19.74
Australia,2004,1.76,80.9,19.99
Australia,2005,1.79,81.2,20.27
Australia,2006,1.82,81.4,20.61
Australia,2007,1.92,81.5,20.98
Australia,2008,1.96,81.6,21.37
Australia,2009,1.9,81.8,21.77
Australia,2010,1.89,82.0,22.16
Australia,2011,1.88,82.2,22.54
Australia,2012,1.89,82.4,22.91
Australia,2013,1.88,82.4,23.27
Australia,2014,1.88,82.3,23.62
Australia,2015,1.88,82.3,23.97
Austria,1800,5.1,34.4,3.21
Austria,1810,5.1,34.4,3.29
Austria,1820,5.1,34.4,3.39
Austria,1830,5.1,34.4,3.54
Austria,1840,5.1,34.4,3.73
Austria,1850,5.1,34.4,3.96
Austria,1860,5.1,34.4,4.24
Austria,1870,4.69,34.4,4.56
Austria,1880,4.62,34.95,4.95
Austria,1890,4.24,37.07,5.41
Austria,1900,4.33,41.53,5.98
Austria,1910,3.69,44.48,6.61
Austria,1920,3.14,50.21,6.46
Austria,1930,2.32,55.88,6.68
Austria,1940,2.7,57.8,6.7
Austria,1950,1.87,64.87,6.94
Austria,1951,2.02,65.24,6.93
Austria,1952,2.06,66.78,6.93
Austria,1953,2.09,67.27,6.93
Austria,1954,2.16,67.3,6.94
Austria,1955,2.29,67.58,6.95
Austria,1956,2.49,67.7,6.96
Austria,1957,2.57,67.46,6.98
Austria,1958,2.6,68.46,7.0
Austria,1959,2.69,68.39,7.03
Austria,1960,2.7,68.75,7.07
Austria,1961,2.79,69.72,7.11
Austria,1962,2.8,69.51,7.15
Austria,1963,2.82,69.64,7.2
Austria,1964,2.8,70.13,7.25
Austria,1965,2.7,69.92,7.3
Austria,1966,2.66,70.22,7.35
